x,y,z
18.8675,1.4258,1.5000
18.9625,1.4413,1.5000
19.0575,1.4628,1.5000
19.1525,1.4880,1.5000
19.2475,1.5121,1.5000
19.3425,1.5288,1.5000
19.4375,1.5321,1.5000
19.5325,1.5199,1.5000
19.6275,1.4996,1.5000
19.7225,1.4845,1.5000
19.8175,1.4824,1.5000
19.9125,1.4923,1.5000
20.0075,1.5096,1.5000
20.1025,1.5288,1.5000
20.1975,1.5448,1.5000
20.2925,1.5557,1.5000
20.3875,1.5658,1.5000
20.4825,1.5821,1.5000
20.5775,1.6061,1.5000
20.6725,1.6342,1.5000
20.7675,1.6601,1.5000
20.8625,1.6765,1.5000
20.9575,1.6759,1.5000
21.0525,1.6554,1.5000
21.1475,1.6227,1.5000
21.2425,1.5909,1.5000
21.3375,1.5677,1.5000
21.4325,1.5523,1.5000
21.5275,1.5399,1.5000
21.6225,1.5248,1.5000
21.7175,1.5030,1.5000
21.8125,1.4758,1.5000
21.9075,1.4526,1.5000
22.0025,1.4432,1.5000
22.0975,1.4490,1.5000
22.1925,1.4646,1.5000
22.2875,1.4829,1.5000
22.3825,1.4957,1.5000
22.4775,1.4958,1.5000
22.5725,1.4810,1.5000
22.6675,1.4583,1.5000
22.7625,1.4384,1.5000
22.8575,1.4258,1.5000
22.9525,1.4184,1.5000
23.0000,1.5000,1.5000
